food_id,food,food_type,supermarket,count,proportion,total,consumption_total,non_consumption_total,situation_independent_total,sensory_total,positive_total,negative_total,contextual_total,consumption_proportion,non_consumption_proportion,situation_independent_proportion,sensory_proportion,positive_proportion,negative_proportion,contextual_proportion
1,punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,vegan,iceland,1,0.09090909090909091,11,2,2,7,1,1,0,0,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.09090909090909091,0.09090909090909091,0,0
2,slimming_world_free_food_vegetable_dhal,vegan,iceland,0,0,8,3,1,4,2,1,0,0,0.375,0.125,0.5,0.25,0.125,0,0
3,no_bull_quarter_pounder_burgers,vegan,iceland,1,0.1111111111111111,9,2,1,6,1,1,0,0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.1111111111111111,0,0
4,no_cheese_italian_garden_pizza,vegan,iceland,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
5,no_cheese_houmous_pizza,vegan,iceland,1,0.1,10,2,1,7,2,0,0,0,0.2,0.1,0.7,0.2,0,0,0
6,no_chick_vegan_crispy_fillets,vegan,iceland,0,0,6,4,0,2,2,2,0,0,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0
7,no_porkies_vegan_sausages,vegan,iceland,0,0,7,4,0,3,1,0,0,3,0.5714285714285714,0,0.42857142857142855,0.14285714285714285,0,0,0.42857142857142855
8,no_bull_vegan_asian_burgers,vegan,iceland,0,0,6,4,0,2,2,2,0,0,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0
9,birds_eye_10_veggie_fingers,vegan,iceland,5,0.5,10,1,5,4,1,0,0,0,0.1,0.5,0.4,0.1,0,0,0
10,linda_mc_cartneys_6_vegetarian_sausages,vegan,iceland,2,0.2857142857142857,7,2,2,3,2,0,0,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0,0
11,iceland_4_vegetable_burgers,vegan,iceland,0,0,5,2,0,3,2,0,0,0,0.4,0,0.6,0.4,0,0,0
12,vegan_no_porkies_burgers_2_pulled_pork_burgers,vegan,iceland,0,0,8,6,0,2,5,0,0,1,0.75,0,0.25,0.625,0,0,0.125
13,iceland_takeaway_4_onion_bhajis,vegan,iceland,2,0.25,8,0,2,6,0,0,0,0,0,0.25,0.75,0,0,0,0
14,slimming_world_free_food_vegetable_dhansak,vegan,iceland,2,0.2857142857142857,7,1,2,4,1,0,0,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0,0,0
15,iceland_zesty_bean_quinoa_steam_bags,vegan,iceland,2,0.18181818181818182,11,0,2,9,0,0,0,0,0,0.18181818181818182,0.8181818181818182,0,0,0,0
16,iceland_takeaway_4_vegetable_samosas,vegan,iceland,1,0.14285714285714285,7,2,1,4,2,0,0,0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0,0
17,no_cheese_mediterranean_garden_pizza,vegan,iceland,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
18,iceland_takeaway_4_vegetable_spring_rolls,vegan,iceland,0,0,10,1,0,9,1,0,0,0,0.1,0,0.9,0.1,0,0,0
19,slimming_world_free_food_chana_saag,vegan,iceland,0,0,9,3,0,6,1,2,0,0,0.3333333333333333,0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0,0
