food,feature_no,feature,supermarket
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,1,delicious,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,2,vegetables,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,3,fresh,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,4,herbs,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,5,spices,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,6,crunchy,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,7,batter,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,8,served,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,9,tomato,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,10,mint,iceland
punjab_pakora_vegetable_pakora_with_tomato_mint_sauce,11,sauce,iceland
slimming_world_free_food_vegetable_dhal,1,free(TM),iceland
slimming_world_free_food_vegetable_dhal,2,satisfying,iceland
slimming_world_free_food_vegetable_dhal,3,lentil,iceland
slimming_world_free_food_vegetable_dhal,4,dish,iceland
slimming_world_free_food_vegetable_dhal,5,bursting,iceland
slimming_world_free_food_vegetable_dhal,6,aromatic,iceland
slimming_world_free_food_vegetable_dhal,7,Indian,iceland
slimming_world_free_food_vegetable_dhal,8,spices,iceland
no_bull_quarter_pounder_burgers,1,plant-based,iceland
no_bull_quarter_pounder_burgers,2,burgers,iceland
no_bull_quarter_pounder_burgers,3,none of the bull,iceland
no_bull_quarter_pounder_burgers,4,meat-free,iceland
no_bull_quarter_pounder_burgers,5,patties,iceland
no_bull_quarter_pounder_burgers,6,packed,iceland
no_bull_quarter_pounder_burgers,7,tasty,iceland
no_bull_quarter_pounder_burgers,8,textured,iceland
no_bull_quarter_pounder_burgers,9,goodness,iceland
no_cheese_italian_garden_pizza,1,cheese-free,iceland
no_cheese_italian_garden_pizza,2,stonebaked,iceland
no_cheese_italian_garden_pizza,3,pizza,iceland
no_cheese_italian_garden_pizza,4,topped,iceland
no_cheese_italian_garden_pizza,5,broccoli,iceland
no_cheese_italian_garden_pizza,6,mushrooms,iceland
no_cheese_italian_garden_pizza,7,red onions,iceland
no_cheese_houmous_pizza,1,crisp,iceland
no_cheese_houmous_pizza,2,wholegrain,iceland
no_cheese_houmous_pizza,3,ultra-thin,iceland
no_cheese_houmous_pizza,4,stonebaked,iceland
no_cheese_houmous_pizza,5,pizza,iceland
no_cheese_houmous_pizza,6,topped,iceland
no_cheese_houmous_pizza,7,houmous,iceland
no_cheese_houmous_pizza,8,seasoned,iceland
no_cheese_houmous_pizza,9,tomatoes,iceland
no_cheese_houmous_pizza,10,black kale,iceland
no_chick_vegan_crispy_fillets,1,plant-based,iceland
no_chick_vegan_crispy_fillets,2,fillets,iceland
no_chick_vegan_crispy_fillets,3,delicious,iceland
no_chick_vegan_crispy_fillets,4,savoury,iceland
no_chick_vegan_crispy_fillets,5,flavour,iceland
no_chick_vegan_crispy_fillets,6,you certainly won't miss chicken,iceland
no_porkies_vegan_sausages,1,plant-based,iceland
no_porkies_vegan_sausages,2,convincingly meaty,iceland
no_porkies_vegan_sausages,3,bangers,iceland
no_porkies_vegan_sausages,4,great with mash,iceland
no_porkies_vegan_sausages,5,beans,iceland
no_porkies_vegan_sausages,6,just stuffed into a butty,iceland
no_bull_vegan_asian_burgers,1,plant-based,iceland
no_bull_vegan_asian_burgers,2,patties,iceland
no_bull_vegan_asian_burgers,3,textured,iceland
no_bull_vegan_asian_burgers,4,tangy,iceland
no_bull_vegan_asian_burgers,5,tasty,iceland
no_bull_vegan_asian_burgers,6,you won't miss meat one bit,iceland
birds_eye_10_veggie_fingers,1,veggie,iceland
birds_eye_10_veggie_fingers,2,fingers,iceland
birds_eye_10_veggie_fingers,3,bursting,iceland
birds_eye_10_veggie_fingers,4,fresh,iceland
birds_eye_10_veggie_fingers,5,veggies,iceland
birds_eye_10_veggie_fingers,7,picked,iceland
birds_eye_10_veggie_fingers,8,frozen,iceland
birds_eye_10_veggie_fingers,9,within hours,iceland
birds_eye_10_veggie_fingers,10,naturally retain nature's goodness,iceland
linda_mc_cartneys_6_vegetarian_sausages,1,seasoned,iceland
linda_mc_cartneys_6_vegetarian_sausages,2,vegetarian,iceland
linda_mc_cartneys_6_vegetarian_sausages,3,sausages,iceland
linda_mc_cartneys_6_vegetarian_sausages,4,made,iceland
linda_mc_cartneys_6_vegetarian_sausages,5,rehydrated,iceland
linda_mc_cartneys_6_vegetarian_sausages,6,textured,iceland
linda_mc_cartneys_6_vegetarian_sausages,7,soya,iceland
linda_mc_cartneys_6_vegetarian_sausages,8,protein,iceland
iceland_4_vegetable_burgers,1,lightly seasoned,iceland
iceland_4_vegetable_burgers,2,vegetables,iceland
iceland_4_vegetable_burgers,3,crisp,iceland
iceland_4_vegetable_burgers,4,crumb,iceland
iceland_4_vegetable_burgers,5,coating,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,1,tangy,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,2,smokey,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,3,textured,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,4,plant-based,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,5,patty,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,6,juicy,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,7,barbecue-flavoured,iceland
vegan_no_porkies_burgers_2_pulled_pork_burgers,8,treat,iceland
iceland_takeaway_4_onion_bhajis,1,battered,iceland
iceland_takeaway_4_onion_bhajis,2,deep-fried,iceland
iceland_takeaway_4_onion_bhajis,3,mix,iceland
iceland_takeaway_4_onion_bhajis,4,sliced,iceland
iceland_takeaway_4_onion_bhajis,5,onions,iceland
iceland_takeaway_4_onion_bhajis,6,blend,iceland
iceland_takeaway_4_onion_bhajis,7,herbs,iceland
iceland_takeaway_4_onion_bhajis,8,spices,iceland
slimming_world_free_food_vegetable_dhansak,1,free(TM),iceland
slimming_world_free_food_vegetable_dhansak,2,mild,iceland
slimming_world_free_food_vegetable_dhansak,3,curry,iceland
slimming_world_free_food_vegetable_dhansak,4,packed,iceland
slimming_world_free_food_vegetable_dhansak,5,roasted,iceland
slimming_world_free_food_vegetable_dhansak,6,vegetables,iceland
slimming_world_free_food_vegetable_dhansak,7,red lentils,iceland
iceland_zesty_bean_quinoa_steam_bags,1,cooked,iceland
iceland_zesty_bean_quinoa_steam_bags,2,quinoa,iceland
iceland_zesty_bean_quinoa_steam_bags,3,green beans,iceland
iceland_zesty_bean_quinoa_steam_bags,4,cooked,iceland
iceland_zesty_bean_quinoa_steam_bags,5,red kidney beans,iceland
iceland_zesty_bean_quinoa_steam_bags,6,sweetcorn,iceland
iceland_zesty_bean_quinoa_steam_bags,7,red peppers,iceland
iceland_zesty_bean_quinoa_steam_bags,8,peas,iceland
iceland_zesty_bean_quinoa_steam_bags,9,soya beans,iceland
