pp,start_date,end_date,duration,finished,response_id,fullfil_criteria,consent,prolific_id,group,hungry,thirsty,desire_instructions_time,simulations_instructions_time,food_type,stimulus_no,food,label_type,measure,rating,time,age,gender,height_choice,height_cm,height_feet,height_inches,weight_choice,weight_kilos,weight_stones,weight_pounds,weight_pounds_only,diet,diet_details,meat_per_week,change_diet,attitude_meat,attitude_vegan,attitude_pb,allergies,allergies_details,language_issues,language_issues_details,didnt_like,study_about,technical_issues,page_time_median,speed_factor,speed_factor_trimmed,rsi,attitude_pb_vegan,attitude_pb_vegan_c,meat_per_week_c,change_diet_s,meat_per_week_s,hungry_s
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,2,veggie_burger,control,attractiveness,11.83,4.955,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.474,1.1047426841574168,1.1047426841574168,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,3,nut_roast,control,attractiveness,23.8,6.14,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.9595,0.9706026058631922,0.9706026058631922,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,5,veggie_quiche,control,attractiveness,79.15,4.936,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.978,1.0085089141004862,1.0085089141004862,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,6,vegan_fillets,control,attractiveness,22.82,6.411,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.579,0.8702230541257214,0.8702230541257214,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,8,spring_rolls,control,attractiveness,34.93,5.961,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.656499999999999,0.9489179667840965,0.9489179667840965,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,10,salsa_pizza,control,attractiveness,31.55,6.18,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.7925,0.9372977346278318,0.9372977346278318,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,11,lentil_stew,control,attractiveness,40.99,5.803,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.659,0.9751852490091332,0.9751852490091332,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,13,dhasnk,control,attractiveness,31.27,6.047,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.196,0.8592690590375393,0.8592690590375393,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,16,sausoyges,control,attractiveness,3.38,10.164,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.629,0.5538173947264856,0.5538173947264856,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,18,cashew_mac,control,attractiveness,64.93,5.665,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.538,0.9775816416593116,0.9775816416593116,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,1,mushroom_burrito,enhanced,attractiveness,36.48,6.294,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.060499999999999,0.8040197013028281,0.8040197013028281,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
