pp,start_date,end_date,preview,duration,finished,fullfil_criteria,consent,group,hungry,thirsty,desire_instructions_time,simulations_instructions_time,food_type,stimulus_no,food,label_type,measure,rating1,rating2,rating3,time,age,gender,height_choice,height_cm,height_feet,height_inches,weight_choice,weight_kilos,weight_stones,weight_pounds,weight_pounds_only,diet,diet_details,meat_per_week,change_diet,allergies,allergies_details,language_issues,language_issues_details,didnt_like,study_about,technical_issues,meat_per_week_s
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,1,mushroom_stew,contextual,desire,75,NA,NA,6.503,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,2,bbq_jackfruit,health_positive,desire,10,NA,NA,9.564,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,3,seitan_burger,neutral,desire,83,NA,NA,5.078,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,4,sweet_potatoe_soup,sensory,desire,67,NA,NA,7.616,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,5,mushroom_burger,contextual,desire,64,NA,NA,4.602,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,6,soy_bolognese,health_positive,desire,0,NA,NA,9.421,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,7,soy_burrito,neutral,desire,30,NA,NA,13.921,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,8,tomato_soup,sensory,desire,67,NA,NA,14.414,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,9,bean_chilli,contextual,desire,85,NA,NA,7.556,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,10,bean_burger,health_positive,desire,82,NA,NA,5.444,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,11,chichpea_curry,neutral,desire,41,NA,NA,5.842,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,12,cauliflower_tacos,sensory,desire,0,NA,NA,7.963,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,13,falafel,contextual,desire,70,NA,NA,8.708,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,14,garlic_spaghetti,health_positive,desire,91,NA,NA,5.799,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,15,lentil_soup,neutral,desire,100,NA,NA,5.622,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,16,tofu_stir_fty,sensory,desire,95,NA,NA,4.017,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,17,bean_burrito_bowl,contextual,desire,61,NA,NA,4.893,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,18,avocado_toast,health_positive,desire,65,NA,NA,6.062,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,19,breakfast_tofu,neutral,desire,100,NA,NA,5.207,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,plant_based,20,pakoras,sensory,desire,6,NA,NA,8.405,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,21,lamb_stew,contextual,desire,100,NA,NA,7.661,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,22,pork_burrito,health_positive,desire,67,NA,NA,17.115,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,23,chicken_pakora,neutral,desire,89,NA,NA,7.009,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,24,beef_chilli,sensory,desire,100,NA,NA,6.08,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,25,pork_burger,contextual,desire,100,NA,NA,5.272,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,26,chicken_wrap,health_positive,desire,60,NA,NA,5.221,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,27,fish_tacos,neutral,desire,19,NA,NA,8.439,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,28,chicken_soup,sensory,desire,68,NA,NA,9.149,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,29,lamb_curry,contextual,desire,90,NA,NA,12.279,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,30,pea_ham_soup,health_positive,desire,15,NA,NA,5.172,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,31,ham_minestrone,neutral,desire,81,NA,NA,6.369,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,32,chicken_stir_fry,sensory,desire,24,NA,NA,5.448,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
pp_5,12/14/2018 5:04,12/14/2018 5:22,no,1042,yes,yes,yes,3,71,70,19.611,15.576,meat_based,33,bacon_and_eggs,contextual,desire,100,NA,NA,6.407,22,male,feet_inches,190,6,3,stones_pounds,79,12,7,NA,omnivore,NA,14,1,no,NA,no,NA,Vegetables,Dish Menu,NA,1.7835709927558372
