food_type,stimulus_no,food
meat_based,1,chicken_balti
meat_based,2,pepperoni_pizza
meat_based,3,empanadas
meat_based,4,steak_pie
meat_based,5,pasta_bake
meat_based,6,risottoo
meat_based,7,sausage_rolls
meat_based,8,quiche_lorraine
meat_based,9,lasagne
meat_based,10,beef_casserole
meat_based,11,chicken_arrabbiata
meat_based,12,haddock
meat_based,13,tiger_prawns
meat_based,14,chicken_soup
meat_based,15,chicken_breast
meat_based,16,moussaka
meat_based,17,spanish_omelette
meat_based,18,paella
meat_based,19,chicken_enchiladas
meat_based,20,beef_burrito
plant_based,1,mushroom_burrito
plant_based,2,veggie_burger
plant_based,3,nut_roast
plant_based,4,mint_soup
plant_based,5,veggie_quiche
plant_based,6,vegan_fillets
plant_based,7,whirls
plant_based,8,spring_rolls
plant_based,9,fishless_cakes
plant_based,10,salsa_pizza
plant_based,11,lentil_stew
plant_based,12,rice_bowl
plant_based,13,dhasnk
plant_based,14,steam_bags
plant_based,15,sushi_wrap
plant_based,16,sausoyges
plant_based,17,hash_browns
plant_based,18,cashew_mac
plant_based,19,noddles_veggies
plant_based,20,falafel
